WBC						
0	d	to	<4	d	7.7-13.1	7.5-15.8
4	d	to	<8	d	6.5-12.3	5.9-12.2
8	d	to	<15	d	7.7-14.0	7.5-14.6
15	d	to	<31	d	8.9-16.7	8.6-15.7
31	d	to	<61	d	8.4-13.7	7.3-12.3
61	d	to	<181	d	7.9-13.4	6.8-12.8
181	d	to	<2	y	7.7-13.1	7.0-13.0
2	y	to	<6	y	6.0-10.5	6.0-10.8
6	y	to	<12	y	5.7-9.9	5.4-9.7
12	y	to	<18	y	5.2-9.7	5.5-9.3
18	y	to	adult	y	3.7-9.7	3.9-11.7
RBC						
0	d	to	<4	d	3.69-4.75	3.79-4.76
4	d	to	<8	d	3.98-5.08	4.05-4.83
8	d	to	<15	d	3.75-4.93	4.01-4.73
15	d	to	<31	d	3.61-4.46	3.70-4.59
31	d	to	<61	d	3.24-4.08	3.55-4.57
61	d	to	<181	d	3.67-4.61	3.63-4.61
181	d	to	<2	y	3.81-4.74	3.83-4.67
2	y	to	<6	y	3.92-4.72	3.89-4.67
6	y	to	<12	y	3.85-4.75	3.88-4.72
12	y	to	<18	y	3.74-4.93	3.79-4.61
18	y	to	adult	y	4.54-5.78	3.85-5.16
HGB						
0	d	to	<4	d	12.5-16.6	12.7-16.4
4	d	to	<8	d	12.5-16.3	12.6-15.3
8	d	to	<15	d	11.9-15.7	12.7-14.9
15	d	to	<31	d	11.6-14.2	11.6-14.3
31	d	to	<61	d	10.2-12.7	11.1-13.7
61	d	to	<181	d	10.5-13.0	10.7-13.4
181	d	to	<2	y	10.4-12.5	10.8-12.6
2	y	to	<6	y	11.0-12.8	11.1-12.9
6	y	to	<12	y	11.0-13.3	11.3-13.4
12	y	to	<18	y	11.0-14.3	11.3-13.4
18	y	to	adult	y	13-3.-17.2	12.0-15.0
HCT						
0	d	to	<4	d	36.4-47.4	36.5-47.7
4	d	to	<8	d	35.9-46.6	36.1-44.0
8	d	to	<15	d	34.4-45.4	36.6-43.2
15	d	to	<31	d	33.6-41.0	34.1-41.8
31	d	to	<61	d	29.1-36.6	32.0-39.9
61	d	to	<181	d	30.5-37.7	30.5-38.6
181	d	to	<2	y	30.5-36.4	30.9-36.4
2	y	to	<6	y	31.5-36.8	31.8-37.0
6	y	to	<12	y	31.5-38.0	32.3-38.3
12	y	to	<18	y	31.4-41.0	32.1-38.7
18	y	to	adult	y	38.9-50.9	34.8-45.0
MCV						
0	d	to	<4	d	94.0-106.3	89.7-105.4
4	d	to	<8	d	87.1-96.5	86.5-93.8
8	d	to	<15	d	87.1-94.8	87.4-92.2
15	d	to	<31	d	88.0-95.2	88.4-93.3
31	d	to	<61	d	86.5-92.1	85.7-91.6
61	d	to	<181	d	79.6-86.3	82.0-87.0
181	d	to	<2	y	75.6-83.1	76.6-83.2
2	y	to	<6	y	76.8-83.3	77.7-84.1
6	y	to	<12	y	78-2-83.9	79.5-85.2
12	y	to	<18	y	80.8-86.6	82.1-87.7
18	y	to	adult	y	81.2-94.0	78-5.-96.4
MCH						
0	d	to	<4	d	32.8-36.4	31.7-36.3
4	d	to	<8	d	30.9-33.4	30.6-32.3
8	d	to	<15	d	30.4-33.0	30.5-31.9
15	d	to	<31	d	30.6-32.6	30.5-32.0
31	d	to	<61	d	30.0-32.0	29.8-31.7
61	d	to	<181	d	27.6-29.9	28.5-30.4
181	d	to	<2	y	26.0-29.0	26.5-29.3
2	y	to	<6	y	26.8-29.4	27.0-29.6
6	y	to	<12	y	27.5-29.7	27.8-30.0
12	y	to	<18	y	28.2-30.5	28.4-30.7
18	y	to	adult	y	27.1-32.5	26.4-33.2
MC-HC						
0	d	to	<4	d	34.0-35.3	33.9-35.4
4	d	to	<8	d	34.3-35.7	34.3-35.7
8	d	to	<15	d	34.0-35.6	33.9-35.3
15	d	to	<31	d	33.9-35.3	33.7-35.1
31	d	to	<61	d	34.0-35.5	34.1-35.4
61	d	to	<181	d	33.9-35.4	34.1-35.6
181	d	to	<2	y	33.6-35.2	34.1-35.6
2	y	to	<6	y	34.2-35.7	34.0-35.6
6	y	to	<12	y	34.4-35.8	34.3-35.8
12	y	to	<18	y	34.2-35.6	33.9-35.4
18	y	to	adult	y	32-5-36.7	31.8-35.9
RDW%						
0	d	to	<4	d	16.3-18.2	15.8-17.8
4	d	to	<8	d	15.0-17.6	14.7-16.6
8	d	to	<15	d	14.9-16.3	14.8-16.3
15	d	to	<31	d	14.6-16.4	15.0-16.7
31	d	to	<61	d	14.7-16.2	14.2-15.6
61	d	to	<181	d	13.5-15.3	13.6-14.8
181	d	to	<2	y	13.6-15.5	13.3-14.8
2	y	to	<6	y	13.2-14.5	13.0-14.2
6	y	to	<12	y	13.0-14.2	12.8-13.9
12	y	to	<18	y	13.0-14.6	12.8-14.4
18	y	to	adult	y	11.5-14.1	11.3-14.7
PLT						
0	d	to	<4	d	140-238	133-255
4	d	to	<8	d	129-271	95-230
8	d	to	<15	d	120-297	106-294
15	d	to	<31	d	157-406	114-364
31	d	to	<61	d	221-471	184-430
61	d	to	<181	d	215-448	147-423
181	d	to	<2	y	185-399	211-408
2	y	to	<6	y	211-370	190-365
6	y	to	<12	y	227-350	219-339
12	y	to	<18	y	180-299	192-307
18	y	to	adult	y	179-373	172-440
MPV						
0	d	to	<4	d	7.8-8.5	7.9-8.5
4	d	to	<8	d	8.0-8.9	8.2-9.1
8	d	to	<15	d	8.1-9.1	8.3-9.4
15	d	to	<31	d	8.0-9.3	8.4-9.9
31	d	to	<61	d	7.8-8.9	7.8-8.8
61	d	to	<181	d	7.5-8.3	7.5-8.3
181	d	to	<2	y	7.3-8.1	7.3-8.0
2	y	to	<6	y	7.2-7.9	7.3-8.0
6	y	to	<12	y	7.4-8.1	7.4-8.1
12	y	to	<18	y	7.5-8.3	7.5-8.3
18	y	to	adult	y	6.1-8.9	6.3-9.1
NEU%						
0	d	to	<15	d	24.1-47.1	21.2-55.4
15	d	to	<31	d	18.4-32.4	17.0-40.9
31	d	to	<61	d	14.6-40.9	15.7-49.1
61	d	to	<181	d	17.0-55.5	18.6-60.0
181	d	to	<2	y	22.7-69.2	23.8-69.3
2	y	to	<6	y	31.7-75.4	33.6-77.5
6	y	to	<12	y	38.8-76.7	38.7-76.7
12	y	to	<18	y	43.2-76.7	46.4-75.6
18	y	to	adult	y	42.9-78.4	39.6-74.7
LYMPH%						
0	d	to	<4	d	14.0-41.0	11.0-40.0
4	d	to	<8	d	14.0-46.0	10.0-45.0
8	d	to	<15	d	9.0-47.0	8.0-46.0
15	d	to	<31	d	9.0-56.0	8.0-57.0
31	d	to	<61	d	12.0-68.0	16.0-68.0
61	d	to	<181	d	16.0-68.0	15.0-68.0
181	d	to	<2	y	15.0-67.0	13.0-70.0
2	y	to	<6	y	11.0-54.0	11.0-59.0
6	y	to	<12	y	8.0-45.0	10.0-47.0
12	y	to	<18	y	8.0-41.0	8.0-39.0
18	y	to	adult	y	14.1-45.8	21.1-52.8
MONO%						
0	d	to	<4	d	4.0-13.0	5.0-11.0
4	d	to	<8	d	7.0-17.0	6.0-14.0
8	d	to	<15	d	7.0-18.0	6.0-19.0
15	d	to	<31	d	6.0-18.0	5.0-14.0
31	d	to	<61	d	6.0-17.0	5.0-14.0
61	d	to	<181	d	4.0-11.0	4.0-12.0
181	d	to	<2	y	4.0-10.0	4.0-9.0
2	y	to	<6	y	4.0-9.0	4.0-8.0
6	y	to	<12	y	4.0-8.0	4.0-7.0
12	y	to	<18	y	4.0-8.0	4.0-7.0
18	y	to	adult	y	3.3-9.2	2.7-6.6
EOS%						
0	d	to	<4	d	2.0-6.0	2.0-4.0
4	d	to	<8	d	2.0-6.0	2.0-5.0
8	d	to	<15	d	2.0-5.0	2.0-5.0
15	d	to	<31	d	2.0-7.0	2.0-4.0
31	d	to	<61	d	2.0-5.0	2.0-6.0
61	d	to	<181	d	2.0-6.0	2.0-5.0
181	d	to	<2	y	1.0-5.0	1.0-4.0
2	y	to	<6	y	1.0-4.0	1.0-4.0
6	y	to	<12	y	2.0-4.0	1.0-4.0
12	y	to	<18	y	2.0-4.0	1.0-3.0
18	y	to	adult	y	0.3-6.2	0.5-7.2
BASO%						
0	d	to	>18	y	0.0-1.0	0.0-1.0
18	y	to	adult	y	0.3-1.3	0.2-1.0
NEU-ABS						
0	d	to	<4	d	4.3-9.1	4.4-11.4
4	d	to	<8	d	3.3-6.6	3.2-7.2
8	d	to	<15	d	3.7-8.4	3.9-8.3
15	d	to	<31	d	3.5-9.4	3.8-9.4
31	d	to	<61	d	2.2-6.4	2.5-6.3
61	d	to	<181	d	2.6-7.5	2.2-7.1
181	d	to	<2	y	2.5-6.4	2.3-6.4
2	y	to	<6	y	2.5-6.0	2.3-6.4
6	y	to	<12	y	2.8-6.3	2.6-6.0
12	y	to	<18	y	2.7-6.7	3.0-6.1
18	y	to	adult	y	2.0-6.7	1.9-7.9
LYM-ABS						
0	d	to	<4	d	1.8-3.6	1.7-2.8
4	d	to	<8	d	1.5-4.1	1.2-3.4
8	d	to	<15	d	1.4-3.9	1.5-3.8
15	d	to	<31	d	1.7-5.2	1.6-5.0
31	d	to	<61	d	2.2-5.6	2.2-5.1
61	d	to	<181	d	2.3-5.4	1.9-5.4
181	d	to	<2	y	2.3-5.5	2.0-5.7
2	y	to	<6	y	1.3-3.5	1.5-3.8
6	y	to	<12	y	1.2-2.7	1.2-2.8
12	y	to	<18	y	1.0-2.2	1.2-2.3
18	y	to	adult	y	1.1-3.3	1.3-3.6
MONO-ABS						
0	d	to	<4	d	0.2-1.8	0.2-2.2
4	d	to	<8	d	0.2-2.2	0.2-2.2
8	d	to	<15	d	0.3-3.0	0.1-2.9
15	d	to	<31	d	0.2-3.5	0.2-5.0
31	d	to	<61	d	0.3-2.7	0.2-2.1
61	d	to	<181	d	0.5-1.9	0.6-1.9
181	d	to	<2	y	0.4-2.0	0.3-1.5
2	y	to	<6	y	0.3-1.2	0.5-1.1
6	y	to	<12	y	0.3-0.9	0.4-0.9
12	y	to	<18	y	0.4-1.3	0.4-0.9
18	y	to	adult	y	0.2-0.7	0.2-0.5
EOS-ABS						
0	d	to	<4	d	0.1-0.4	0.0-0.3
4	d	to	<8	d	0.1-0.4	0.0-0.4
8	d	to	<15	d	0.1-0.4	0.0-0.3
15	d	to	<31	d	0.1-0.5	0.0-0.4
31	d	to	<61	d	0.1-0.4	0.1-0.3
61	d	to	<181	d	0.0-0.4	0.0-0.3
181	d	to	<2	y	0.0-0.3	0.0-0.2
2	y	to	<18	y	0.0-0.2	0.0-0.2
18	y	to	adult	y	0.0-0.4	0.0-0.4
BASO-ABS						
0	d	to	adult	y	0.0-0.1	0.0-0.1
